idx	target_name	accession	query_name	accession_c	clan_name	mdl	mdl_from	mdl_to	seq_from	seq_to	strand	trunc	pass	gc	bias	score	e-value	inc	olp	anyidx	afrct1	afrct2	winidx	wfrct1	wfrct2	description_target
7	mir-506	RF01910	7180000109669	-	-	cm	1	87	701	626	-	no	1	0.46	0	30.4	0.0045	!	=	1	0.895	1	""""	""""	""""	microRNA mir-506
1	snoR100	RF01219	7180000106151	-	-	cm	1	116	88739	88853	+	no	1	0.43	0	111.9	1.20E-21	!	*	-	-	-	-	-	-	Small nucleolar RNA snoR100
2	snoR100	RF01219	7180000106151	-	-	cm	1	116	88381	88492	+	no	1	0.42	0	78.5	4.00E-13	!	*	-	-	-	-	-	-	Small nucleolar RNA snoR100
3	mir-3533	RF03561	7180000106151	-	-	cm	1	84	733936	733853	-	no	1	0.5	0	39.7	0.0015	!	*	-	-	-	-	-	-	mir-3533 microRNA precursor family
1	snoR134	RF01430	7180000115042	-	-	cm	1	149	7568	7418	-	no	1	0.45	0	94.2	2.50E-19	!	^	-	-	-	-	-	-	small nucleolar RNA snoR134
2	snoZ223	RF00135	7180000115042	-	-	cm	1	94	7044	6953	-	no	1	0.39	0	83.7	3.70E-17	!	^	-	-	-	-	-	-	Small nucleolar RNA Z223
3	snoU36a	RF01302	7180000115042	-	-	cm	1	90	7194	7109	-	no	1	0.37	0	78.5	8.20E-16	!	^	-	-	-	-	-	-	SnoRNA U36a
4	snoZ278	RF00201	7180000115042	-	-	cm	1	115	6717	6600	-	no	1	0.47	0	62.6	2.10E-11	!	*	-	-	-	-	-	-	Small nucleolar RNA Z278
5	snoR97	RF01215	7180000115042	-	-	cm	1	106	6501	6400	-	no	1	0.45	0	76.7	1.00E-10	!	*	-	-	-	-	-	-	Small nucleolar RNA snoR97
1	tRNA	RF00005	7180000106664	-	-	cm	1	71	139299	139228	-	no	1	0.57	0	66	5.20E-12	!	^	-	-	-	-	-	-	tRNA
2	tRNA	RF00005	7180000106664	-	-	cm	1	71	59818	59739	-	no	1	0.59	0	64.8	1.10E-11	!	^	-	-	-	-	-	-	tRNA
3	tRNA	RF00005	7180000106664	-	-	cm	1	71	136600	136529	-	no	1	0.62	0	58.6	6.20E-10	!	*	-	-	-	-	-	-	tRNA
1	5S_rRNA	RF00001	7180000120409	-	-	cm	41	119	1	82	+	5'	2	0.45	0	33.9	0.0034	!	*	-	-	-	-	-	-	-
1	5S_rRNA	RF00001	7180000108846	-	-	cm	1	119	27364	27253	-	no	1	0.45	0	34.5	0.0086	!	*	-	-	-	-	-	-	-
1	tRNA	RF00005	7180000106821	-	-	cm	1	71	179390	179317	-	no	1	0.47	0	65.5	9.70E-12	!	^	-	-	-	-	-	-	tRNA
2	snoR71	RF00097	7180000106821	-	-	cm	1	107	31342	31237	-	no	1	0.45	0	40.1	0.0004	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	snoR71	RF00097	7180000118691	-	-	cm	1	107	51832	51938	+	no	1	0.45	0	47.1	8.00E-06	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-991	RF03641	7180000117618	-	-	cm	1	88	235	313	+	no	1	0.25	0.5	36.6	3.30E-06	!	^	-	-	-	-	-	-	mir-991 microRNA precursor family
2	mir-1000	RF03299	7180000117618	-	-	cm	1	72	237	311	+	no	1	0.27	0.1	30	4.40E-05	!	=	1	1	0.949	""""	""""	""""	mir-1000 microRNA precursor family
1	mir-3119	RF03717	7180000108021	-	-	cm	1	85	25277	25366	+	no	1	0.18	13.6	44.8	1.40E-06	!	*	-	-	-	-	-	-	mir-3119 microRNA precursor family
2	mir-3119	RF03717	7180000108021	-	-	cm	1	85	25366	25277	-	no	1	0.18	13.6	44.1	2.30E-06	!	^	-	-	-	-	-	-	mir-3119 microRNA precursor family
3	MIR2599	RF03839	7180000108021	-	-	cm	1	132	25375	25269	-	no	1	0.22	9	44.4	2.40E-05	!	=	2	0.841	1	""""	""""	""""	MIR2599 microRNA precursor family
1	mir-4536	RF03747	7180000118997	-	-	cm	1	88	21590	21677	+	no	1	0.23	4	45.3	9.70E-05	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
2	mir-4536	RF03747	7180000118997	-	-	cm	1	88	21677	21590	-	no	1	0.23	4	45.3	9.70E-05	!	*	-	-	-	-	-	-	mir-4536 microRNA precursor family
3	snoR31_Z110_Z27	RF00353	7180000118997	-	-	cm	1	97	38607	38696	+	no	1	0.34	0	51.3	0.00027	!	^	-	-	-	-	-	-	Small nucleolar RNA snoR31/Z110/Z27
4	snoR32_R81	RF00356	7180000118997	-	-	cm	1	98	38431	38514	+	no	1	0.36	0	45.1	0.0087	!	^	-	-	-	-	-	-	Small nucleolar RNA R32/R81/Z41
1	MIR169_2	RF00645	7180000117934	-	-	cm	1	134	157057	156952	-	no	1	0.37	0	69.4	4.10E-17	!	*	-	-	-	-	-	-	microRNA MIR169_2
2	MIR169_2	RF00645	7180000117934	-	-	cm	1	134	156954	157057	+	no	1	0.38	0	43.6	3.20E-08	!	^	-	-	-	-	-	-	microRNA MIR169_2
3	snoR71	RF00097	7180000117934	-	-	cm	1	107	171388	171282	-	no	1	0.41	0	51.1	4.70E-07	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	Plant_SRP	RF01855	7180000118909	-	-	cm	1	305	85414	85713	+	no	1	0.48	0	101.1	9.10E-26	!	^	-	-	-	-	-	-	Plant signal recognition particle RNA
2	Metazoa_SRP	RF00017	7180000118909	-	-	cm	1	301	85414	85707	+	no	1	0.48	0	31.7	0.00049	!	=	1	1	0.98	""""	""""	""""	Metazoan signal recognition particle RNA
3	Protozoa_SRP	RF01856	7180000118909	-	-	cm	1	241	85430	85678	+	no	1	0.48	0	38	0.00092	!	=	1	1	0.83	""""	""""	""""	Protozoan signal recognition particle RNA
1	CsrC	RF00084	7180000120074	-	-	cm	1	255	9430	9313	-	no	1	0.4	0	21.7	0.0029	!	*	-	-	-	-	-	-	CsrC RNA family
1	snoR71	RF00097	7180000111422	-	-	cm	1	107	1179	1074	-	no	1	0.42	0	47.9	4.50E-07	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-2002	RF03821	7180000117127	-	-	cm	1	68	192	126	-	no	1	0.22	3.1	31.7	8.80E-05	!	^	-	-	-	-	-	-	mir-2002 microRNA precursor family
2	mir-4536	RF03747	7180000117127	-	-	cm	1	88	198	121	-	no	1	0.24	3.8	33.8	0.00013	!	=	1	0.859	1	""""	""""	""""	mir-4536 microRNA precursor family
3	Alfamo_CPB	RF00252	7180000117127	-	-	cm	113	182	1	63	+	5'	2	0.24	0.2	22.4	0.00043	!	^	-	-	-	-	-	-	Alfalfa mosaic virus coat protein binding (CPB) RNA
4	MIR859	RF03762	7180000117127	-	-	cm	1	127	203	116	-	no	1	0.24	7.9	29.9	0.00076	!	=	1	0.761	1	""""	""""	""""	MIR859 microRNA precursor family
5	mir-280	RF00801	7180000117127	-	-	cm	1	95	123	34	-	no	1	0.21	11.5	25.6	0.0016	!	=	2	0.033	0.038	-	-	-	microRNA mir-280
6	mir-4536	RF03747	7180000117127	-	-	cm	1	88	98	7	-	no	1	0.18	13	29.3	0.0017	!	=	5	0.707	0.722	-	-	-	mir-4536 microRNA precursor family
7	MIR530	RF01005	7180000117127	-	-	cm	1	172	201	118	-	no	1	0.24	6.4	27.4	0.0028	!	=	1	0.798	1	""""	""""	""""	microRNA MIR530
8	RUF21	RF01825	7180000117127	-	-	cm	596	641	52	97	+	no	2	0.15	3	26	0.0094	!	=	3	0.261	0.19	""""	""""	""""	RNA of unknown function 21
1	snoR71	RF00097	7180000117865	-	-	cm	1	107	5359	5465	+	no	1	0.45	0	49.8	2.80E-07	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	MIR6149	RF03905	7180000108780	-	-	cm	1	99	23161	23244	+	no	1	0.23	3.8	39.8	0.00025	!	*	-	-	-	-	-	-	MIR6149 microRNA precursor family
2	MIR6149	RF03905	7180000108780	-	-	cm	1	99	23238	23163	-	no	1	0.24	1.5	34.6	0.0063	!	^	-	-	-	-	-	-	MIR6149 microRNA precursor family
1	tRNA	RF00005	7180000106439	-	-	cm	1	71	117299	117226	-	no	1	0.53	0	66.3	4.90E-12	!	*	-	-	-	-	-	-	tRNA
1	mir-5912	RF03899	7180000111506	-	-	cm	1	88	8073	7970	-	no	1	0.38	0	28.7	0.0075	!	*	-	-	-	-	-	-	mir-5912 microRNA precursor family
1	snoR71	RF00097	7180000109773	-	-	cm	1	107	47710	47604	-	no	1	0.37	0	58.9	2.60E-09	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-582	RF00927	7180000108948	-	-	cm	1	98	3484	3584	+	no	1	0.32	0	37.5	0.00058	!	^	-	-	-	-	-	-	microRNA mir-582
2	mir-75	RF00828	7180000108948	-	-	cm	1	100	3325	3421	+	no	1	0.27	1.1	34	0.00091	!	*	-	-	-	-	-	-	microRNA mir-75
3	mir-7131	RF03716	7180000108948	-	-	cm	1	84	2921	2838	-	no	1	0.26	0.7	34.3	0.0016	!	^	-	-	-	-	-	-	mir-7131 microRNA precursor family
1	snoR71	RF00097	7180000112605	-	-	cm	1	107	55048	54943	-	no	1	0.4	0	59.7	1.00E-09	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	MIR7993	RF03601	7180000117616	-	-	cm	1	138	370	236	-	no	1	0.29	2.3	66.6	8.40E-13	!	^	-	-	-	-	-	-	MIR7993 microRNA precursor family
2	MIR7993	RF03601	7180000117616	-	-	cm	1	138	238	372	+	no	1	0.29	2.3	65.3	1.80E-12	!	^	-	-	-	-	-	-	MIR7993 microRNA precursor family
3	MIR9563	RF03940	7180000117616	-	-	cm	1	125	348	260	-	no	1	0.22	4.7	55.3	1.00E-10	!	=	1	1	0.659	""""	""""	""""	MIR9563 microRNA precursor family
4	MIR7127	RF04049	7180000117616	-	-	cm	1	132	256	352	+	no	1	0.25	2.9	57.2	1.00E-10	!	=	2	1	0.719	""""	""""	""""	MIR7127 microRNA precursor family
5	MIR6425	RF03237	7180000117616	-	-	cm	1	125	230	378	+	no	1	0.27	8	51.2	1.40E-10	!	=	2	0.906	1	""""	""""	""""	MIR6425 microRNA precursor family
6	MIR6425	RF03237	7180000117616	-	-	cm	1	125	378	230	-	no	1	0.27	8	51.2	1.40E-10	!	=	1	0.906	1	""""	""""	""""	MIR6425 microRNA precursor family
7	MIR7993	RF03601	7180000117616	-	-	cm	1	138	96	207	+	no	1	0.28	1.4	56.5	3.00E-10	!	^	-	-	-	-	-	-	MIR7993 microRNA precursor family
8	MIR9560	RF03224	7180000117616	-	-	cm	1	96	368	239	-	no	1	0.29	1.4	52.4	5.00E-10	!	=	1	1	0.963	""""	""""	""""	MIR9560 microRNA precursor family
9	MIR9560	RF03224	7180000117616	-	-	cm	1	96	240	369	+	no	1	0.29	1.4	52.4	5.10E-10	!	=	2	1	0.963	""""	""""	""""	MIR9560 microRNA precursor family
10	MIR7993	RF03601	7180000117616	-	-	cm	1	138	195	104	-	no	1	0.25	1.9	54.3	1.10E-09	!	^	-	-	-	-	-	-	MIR7993 microRNA precursor family
11	MIR400	RF03916	7180000117616	-	-	cm	1	103	364	243	-	no	1	0.28	2.2	47.5	2.60E-09	!	=	1	1	0.904	""""	""""	""""	MIR400 microRNA precursor family
12	WsnRNA46	RF02625	7180000117616	-	-	cm	1	151	206	100	-	no	1	0.27	1.6	45.7	1.50E-08	!	=	10	0.86	1	""""	""""	""""	Wolbachia sRNA 46
13	let-7	RF00027	7180000117616	-	-	cm	1	84	350	258	-	no	1	0.24	3.7	39	7.30E-07	!	=	1	1	0.689	""""	""""	""""	let-7 microRNA precursor
14	let-7	RF00027	7180000117616	-	-	cm	1	84	258	350	+	no	1	0.24	3.7	39	7.70E-07	!	=	2	1	0.689	""""	""""	""""	let-7 microRNA precursor
15	mir-4875	RF03566	7180000117616	-	-	cm	1	73	335	271	-	no	1	0.25	0.1	37.7	2.10E-06	!	=	1	1	0.481	""""	""""	""""	mir-4875 microRNA precursor family
16	mir-190	RF00672	7180000117616	-	-	cm	1	89	254	354	+	no	1	0.24	5.2	37.7	2.50E-06	!	=	2	1	0.748	""""	""""	""""	microRNA mir-190
17	mir-190	RF00672	7180000117616	-	-	cm	1	89	354	254	-	no	1	0.24	5.2	37.6	2.70E-06	!	=	1	1	0.748	""""	""""	""""	microRNA mir-190
18	MIR1887	RF03655	7180000117616	-	-	cm	1	63	332	276	-	no	1	0.25	0.1	35.8	6.20E-06	!	=	1	1	0.422	""""	""""	""""	MIR1887 microRNA precursor family
19	MIR1887	RF03655	7180000117616	-	-	cm	1	63	276	332	+	no	1	0.25	0.1	35.4	8.10E-06	!	=	2	1	0.422	""""	""""	""""	MIR1887 microRNA precursor family
20	MIR167_1	RF00640	7180000117616	-	-	cm	1	130	363	246	-	no	1	0.28	1.7	32.8	8.30E-06	!	=	1	1	0.874	""""	""""	""""	microRNA MIR167_1
21	mir-4875	RF03566	7180000117616	-	-	cm	1	73	273	337	+	no	1	0.25	0.1	34.6	1.60E-05	!	=	2	1	0.481	""""	""""	""""	mir-4875 microRNA precursor family
22	OppA_thermometer	RF02777	7180000117616	-	-	cm	1	304	248	371	+	no	1	0.28	2	26.8	3.00E-05	!	=	2	1	0.919	""""	""""	""""	OppA 5' UTR thermometer
23	MIR5649	RF03802	7180000117616	-	-	cm	24	78	279	329	+	no	1	0.24	0	26.4	0.0041	!	=	2	1	0.378	""""	""""	""""	MIR5649 microRNA precursor family
24	MIR397	RF00704	7180000117616	-	-	cm	1	117	229	377	+	no	1	0.27	8	27	0.0054	!	=	2	0.906	1	""""	""""	""""	microRNA MIR397
25	SCARNA7	RF01295	7180000117616	-	-	cm	1	330	249	360	+	no	1	0.28	1.4	19.8	0.0076	!	=	2	1	0.83	""""	""""	""""	Small Cajal body-specific RNA 7
1	MIR1514	RF03259	7180000120907	-	-	cm	1	109	27409	27512	+	no	1	0.27	1.5	39.1	0.0014	!	*	-	-	-	-	-	-	MIR1514 microRNA precursor family
1	MIR6426	RF03872	7180000118095	-	-	cm	1	84	127753	127838	+	no	1	0.28	0.1	62.8	3.80E-10	!	^	-	-	-	-	-	-	MIR6426 microRNA precursor family
2	MIR6426	RF03872	7180000118095	-	-	cm	1	84	127838	127753	-	no	1	0.28	0.1	62.8	3.80E-10	!	^	-	-	-	-	-	-	MIR6426 microRNA precursor family
3	mir-785	RF02244	7180000118095	-	-	cm	1	95	127751	127840	+	no	1	0.27	0.5	56.2	2.30E-09	!	=	1	0.956	1	""""	""""	""""	microRNA mir-785
4	mir-785	RF02244	7180000118095	-	-	cm	1	95	127840	127751	-	no	1	0.27	0.5	56.2	2.30E-09	!	=	2	0.956	1	""""	""""	""""	microRNA mir-785
5	mir-58	RF00835	7180000118095	-	-	cm	1	97	127751	127842	+	no	1	0.27	0.4	34.3	0.0024	!	=	1	0.935	1	""""	""""	""""	microRNA mir-58
1	mir-576	RF00984	7180000109922	-	-	cm	1	98	5972	6117	+	no	1	0.37	0	51.2	5.30E-09	!	^	-	-	-	-	-	-	microRNA mir-576
2	MIR6445	RF03933	7180000109922	-	-	cm	1	117	5977	6104	+	no	1	0.36	0	49.3	4.70E-08	!	=	1	1	0.877	""""	""""	""""	MIR6445 microRNA precursor family
3	mir-576	RF00984	7180000109922	-	-	cm	3	93	6107	5969	-	no	1	0.36	0	44.8	3.20E-07	!	^	-	-	-	-	-	-	microRNA mir-576
4	sau-19	RF02386	7180000109922	-	-	cm	1	75	5987	6086	+	no	1	0.34	0	39.6	5.70E-05	!	=	1	1	0.685	""""	""""	""""	Staphylococcus sRNA sau-19
5	sau-19	RF02386	7180000109922	-	-	cm	1	75	6094	5995	-	no	1	0.34	0	38.7	9.60E-05	!	=	3	1	0.719	""""	""""	""""	Staphylococcus sRNA sau-19
1	tRNA	RF00005	7180000106976	-	-	cm	1	71	32124	32053	-	no	1	0.56	0	61.2	2.90E-11	!	^	-	-	-	-	-	-	tRNA
1	snoR71	RF00097	7180000112606	-	-	cm	1	107	3137	3032	-	no	1	0.48	0	47.8	3.80E-07	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	snoR71	RF00097	7180000114810	-	-	cm	1	107	1324	1218	-	no	1	0.35	0	45.6	1.20E-06	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-4536	RF03747	7180000108106	-	-	cm	1	88	18874	18959	+	no	1	0.27	1.2	38.2	0.0025	!	^	-	-	-	-	-	-	mir-4536 microRNA precursor family
2	MIR827	RF03692	7180000108106	-	-	cm	1	125	18787	18907	+	no	1	0.31	6.2	37	0.0026	!	=	1	0.281	0.395	""""	""""	""""	MIR827 microRNA precursor family
1	snoR71	RF00097	7180000118731	-	-	cm	1	107	217085	217191	+	no	1	0.49	0	44.6	2.90E-05	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-944	RF01024	7180000110810	-	-	cm	1	88	50112	50030	-	no	1	0.33	0	60.8	2.10E-09	!	^	-	-	-	-	-	-	microRNA mir-944
2	mir-BART19	RF03812	7180000110810	-	-	cm	1	93	50116	50026	-	no	1	0.36	0	45.7	2.10E-06	!	=	1	0.912	1	""""	""""	""""	mir-BART19 microRNA precursor family
3	mir-785	RF02244	7180000110810	-	-	cm	1	95	50114	50028	-	no	1	0.33	0	34.4	0.0014	!	=	1	0.954	1	""""	""""	""""	microRNA mir-785
1	MIR7994	RF03818	7180000107323	-	-	cm	1	90	35980	35918	-	no	1	0.32	0	48.5	8.70E-07	!	^	-	-	-	-	-	-	MIR7994 microRNA precursor family
2	MIR7994	RF03818	7180000107323	-	-	cm	1	90	35920	35982	+	no	1	0.32	0	47	2.10E-06	!	*	-	-	-	-	-	-	MIR7994 microRNA precursor family
3	sau-19	RF02386	7180000107323	-	-	cm	1	75	35988	35917	-	no	1	0.35	0	45.6	7.30E-06	!	=	1	0.875	1	""""	""""	""""	Staphylococcus sRNA sau-19
1	MIR6149	RF03905	7180000107165	-	-	cm	1	99	24431	24526	+	no	1	0.26	1.4	55.2	3.50E-08	!	^	-	-	-	-	-	-	MIR6149 microRNA precursor family
2	MIR1023	RF01043	7180000107165	-	-	cm	1	165	24558	24398	-	no	1	0.23	20.4	52.8	8.10E-08	!	^	-	-	-	-	-	-	microRNA MIR1023
3	mir-3533	RF03561	7180000107165	-	-	cm	1	84	155953	156036	+	no	1	0.42	0	45.5	7.40E-06	!	*	-	-	-	-	-	-	mir-3533 microRNA precursor family
4	MIR6149	RF03905	7180000107165	-	-	cm	1	99	24524	24429	-	no	1	0.26	1.5	45.1	1.90E-05	!	=	2	1	0.596	""""	""""	""""	MIR6149 microRNA precursor family
5	mir-4536	RF03747	7180000107165	-	-	cm	1	88	24433	24522	+	no	1	0.24	2.3	40	0.0022	!	=	1	1	0.938	""""	""""	""""	mir-4536 microRNA precursor family
1	MIR1122	RF00906	7180000115549	-	-	cm	1	135	15259	15367	+	no	1	0.28	1.2	36.8	0.00044	!	^	-	-	-	-	-	-	microRNA MIR1122
1	mir-559	RF03556	7180000117884	-	-	cm	8	84	45691	45617	-	no	1	0.27	0.2	38.8	0.0018	!	^	-	-	-	-	-	-	mir-559 microRNA precursor family
2	sno_ZL1	RF02723	7180000117884	-	-	cm	1	196	42424	42573	+	no	1	0.36	0.8	30.4	0.0054	!	^	-	-	-	-	-	-	Small nucleolar RNA ZL1
3	MIR774	RF03714	7180000117884	-	-	cm	1	98	45692	45616	-	no	1	0.26	0.3	37.3	0.0054	!	=	1	0.974	1	""""	""""	""""	MIR774 microRNA precursor family
1	mir-7973	RF03569	7180000110911	-	-	cm	1	74	47110	47185	+	no	1	0.53	0	53.9	1.10E-08	!	^	-	-	-	-	-	-	mir-7973 microRNA precursor family
1	mir-598	RF01059	7180000107126	-	-	cm	1	97	120241	120337	+	no	1	0.3	0.1	46.8	5.60E-05	!	*	-	-	-	-	-	-	microRNA mir-598
2	mir-598	RF01059	7180000107126	-	-	cm	1	97	120350	120241	-	no	1	0.29	0.5	45.7	0.0001	!	^	-	-	-	-	-	-	microRNA mir-598
3	MIR4359	RF03665	7180000107126	-	-	cm	1	67	120332	120253	-	no	1	0.3	0	35.8	0.0054	!	=	2	1	0.727	""""	""""	""""	MIR4359 microRNA precursor family
1	mir-2363	RF03729	7180000109257	-	-	cm	1	72	69375	69310	-	no	1	0.18	5	46.7	7.10E-06	!	*	-	-	-	-	-	-	mir-2363 microRNA precursor family
2	mir-2363	RF03729	7180000109257	-	-	cm	1	72	69310	69375	+	no	1	0.18	5	46.6	7.80E-06	!	*	-	-	-	-	-	-	mir-2363 microRNA precursor family
1	MIR821	RF00885	7180000116542	-	-	cm	1	272	61	372	+	3'	3	0.28	28.8	83.9	7.20E-18	!	^	-	-	-	-	-	-	microRNA MIR821
2	MIR821	RF00885	7180000116542	-	-	cm	44	232	333	159	-	no	2	0.29	7	59.9	5.70E-12	!	^	-	-	-	-	-	-	microRNA MIR821
3	MIR530	RF01005	7180000116542	-	-	cm	1	172	296	140	-	no	1	0.28	7.7	41.3	1.30E-06	!	=	2	0.879	0.789	""""	""""	""""	microRNA MIR530
4	MIR400	RF03916	7180000116542	-	-	cm	1	103	281	182	-	no	1	0.29	0.2	35.1	6.70E-06	!	=	2	1	0.571	""""	""""	""""	MIR400 microRNA precursor family
5	mir-552	RF00990	7180000116542	-	-	cm	1	96	321	206	-	no	1	0.29	1.7	37.1	7.10E-06	!	=	2	1	0.663	""""	""""	""""	microRNA mir-552
6	mir-1297	RF03229	7180000116542	-	-	cm	1	77	274	193	-	no	1	0.29	0	26.4	0.0032	!	=	2	1	0.469	""""	""""	""""	mir-1297 microRNA precursor family
7	mir-4774	RF03482	7180000116542	-	-	cm	1	76	210	282	+	no	1	0.29	0	26.6	0.0077	!	=	1	1	0.234	""""	""""	""""	mir-4774 microRNA precursor family
1	mir-5880	RF03596	7180000110001	-	-	cm	1	79	15900	15790	-	no	1	0.26	3.5	43.8	3.90E-06	!	*	-	-	-	-	-	-	mir-5880 microRNA precursor family
1	MIR408	RF00690	7180000107784	-	-	cm	1	136	115454	115328	-	no	1	0.36	0.2	32.9	0.00036	!	^	-	-	-	-	-	-	microRNA MIR408
2	snoR71	RF00097	7180000107784	-	-	cm	1	107	60762	60657	-	no	1	0.48	0	37.9	0.00098	!	*	-	-	-	-	-	-	Plant small nucleolar RNA R71
1	mir-3914	RF03719	7180000118655	-	-	cm	1	95	102469	102386	-	no	1	0.42	0	36.6	0.00035	!	*	-	-	-	-	-	-	mir-3914 microRNA precursor family
2	mir-3914	RF03719	7180000118655	-	-	cm	1	95	102386	102469	+	no	1	0.42	0	33.7	0.0027	!	*	-	-	-	-	-	-	mir-3914 microRNA precursor family
1	tRNA	RF00005	7180000106308	-	-	cm	1	71	46948	46875	-	no	1	0.51	0	49.1	1.60E-07	!	*	-	-	-	-	-	-	tRNA
1	mir-4875	RF03566	7180000117590	-	-	cm	1	73	47	127	+	no	1	0.35	0	39.2	6.60E-07	!	^	-	-	-	-	-	-	mir-4875 microRNA precursor family
2	mir-4875	RF03566	7180000117590	-	-	cm	1	73	125	45	-	no	1	0.35	0	39.2	6.60E-07	!	^	-	-	-	-	-	-	mir-4875 microRNA precursor family
3	SpF43_sRNA	RF02436	7180000117590	-	-	cm	1	99	136	45	-	no	1	0.32	0	34.7	9.70E-06	!	=	2	0.88	1	""""	""""	""""	Streptococcus sRNA SpF43
4	snR82	RF01261	7180000117590	-	-	cm	1	189	166	1	-	3'	3	0.31	1.7	32.7	1.20E-05	!	=	2	0.488	1	""""	""""	""""	Small nucleolar RNA snR82
5	mir-331	RF00769	7180000117590	-	-	cm	1	94	123	59	-	no	1	0.31	0	28.7	0.00044	!	=	2	1	0.802	""""	""""	""""	microRNA mir-331
6	MIR2119	RF03922	7180000117590	-	-	cm	1	148	24	124	+	no	1	0.31	0.1	34.3	0.00046	!	=	1	0.772	0.963	""""	""""	""""	MIR2119 microRNA precursor family
7	mir-331	RF00769	7180000117590	-	-	cm	1	94	49	113	+	no	1	0.31	0	28.6	0.00046	!	=	1	1	0.802	""""	""""	""""	microRNA mir-331
8	MIR2119	RF03922	7180000117590	-	-	cm	1	148	148	48	-	no	1	0.31	0.1	33.4	0.00074	!	=	2	0.772	0.963	""""	""""	""""	MIR2119 microRNA precursor family
